komentar,Prob_Asli,Label_Pred
barang bagus seller ramah n sampai cepat recommended seller,0.20284394016489388,Palsu
"Barang cepat sampai, bahan oke sih , ukuran juga pas di kaki, semoga awet dahh",0.33562615513801575,Palsu
"Sepatunya bagus,ringan rapi dan enak dpakai,cuma depannya aja yg agak karidut bentuknya. Seller hrsnya kasih plastik dgulung buat dalamn sepatu spaya ngak berubah bentuk spatunya",0.8748024463653564,Asli
"respon penjual cepat, barang sesuai, packing rapi kualitas sepatu bagus dapt tas sepatu sama kaos kaki mantabbbb pokoknya",0.9491185665130615,Asli
"Sepatunya bagus seperti deskripsi, ukuran pas empuk dipakai",0.1765804946422577,Palsu
"kualitas belum tahu, baru dicoba pake, lumayan empuk dikaki, untuk ukuran 44 terlalu pas pasan, resiko kaki jumbo :) overall mantap lah",0.7336253881454468,Asli
"kualitas lumayan lah dengan harga segitu udah dapet sepatu, kemarin sempat salah checkout, tp untungnya seller responsif, jadi tetap dapet sesuai keinginan",0.4700047135353088,Palsu
"Alhamdulillah barang sampai dengan selamat dan pengiriman nya juga cepat, seller sangat responsif juga. Terima Kasih Banyak🙏🏻 Semoga Awet",0.005269978195428848,Palsu
ukuran 36 nya kegedean utk ukuran 36 standard...akalinnya ya harus pakai kaos kaki tebel kayanya,0.7178013324737549,Asli
"Pengiriman cepat, barang tiba dg selamat, kualitas produk OK dg harga yg diberikan…diatas ekspektasi unt sebuah produk KW 👍 👍",0.1133966553211212,Palsu
"sangat puas dikirim sesuai gambar, dengan kualitas bagus , semoga lancar jaya usaha nya , toko rekomendasi",0.31727264188230037,Palsu
"packing produknya rapi, dan kualitas sepatunya sangat bermutu semoga bisa dipakai awet selalu",0.3185667097568512,Palsu
"Keren nih produknya, pas ukurannya, dapat hadiah lagi, semoga awet, terima kasih",0.012695513665676117,Palsu
"sangat recommended, kualitas bagus tidak mengecewakan...sukses",0.43575418293476104,Palsu
"kualitas okelah sesuai harga, cuma detailnya kurang si",0.41520473957061765,Palsu
bau lem banget... tapi lumayan laah daripada lu manyun...,0.9442716240882874,Asli
"bau lem sangat menyengat😭🙏kayak abis di tempell....,cuma keseluruhan dah bagus si cocok cocok aja,semoga awet😁",0.5484692215919494,Asli
"model keren, sesuai gbr",0.11176963187754155,Palsu
"bagus sesuai gambar,real nyaman semoga awet",0.294854898750782,Palsu
"sepatu bagus dan berkwalitas, barang sesuai pesanan",0.2077761733531952,Palsu
alhamdulillah dikira saya awalnya takut gagal tapi ternyata pas datang beuhh cakep pokoknya gak gagal. ukuran pas warna sesuai yang di pesan bahan bagus.,0.5969765305519104,Asli
⭐️ Seller Response ⭐️ Service n Delivery ⭐️ Product as per Display ⭐️ Product in Good Condition ⭐️ Recommended Seller,0.11237304601818324,Palsu
walau kw tapi boleh boleh buat pemula mah overall gada yang aneh atau cacat. thanks seller,0.02,Palsu
"baguss, empuk, tapi sepertinya Bahan kainnya cepet rusak. Masih Ok lah",0.7668748617172241,Asli
"barang sesuai harga, ukuran pas, bau lem menyengat pengiriman lumayan lama",0.879883861541748,Asli
"kerannn nyaman spatunya, buat trail run spatu ga ori juga tetep enak inimah",0.8862932801246644,Asli
"sesuai harga, semoga awet. kualitas lihat gambar",0.17134200632572175,Palsu
"barang sesuai dengan deskripsi, pengiriman oke lah , seller bagus , over all , good 😊",0.346046057343483,Palsu
"namanya juga tidak ori , lumayan lah dengan harga segitu bnyak bonus juga .mkasih ya semoga barang nya awet 🥰",0.52722926735878,Asli
"paketnya sudah saya terima dengan baik , kwalitasnya bagus , pengiriman lancar jaya.semoga menjadi amanah dalam menjalankan usahanya.amin ya robal alamin.",0.045000000000000005,Palsu
"Berkualitas meskipun harga minim, untuk harga segini okelah. Lemnya aja mungkin harus lebih rapi lagi. Overall oke",0.5817179083824158,Asli
Paket sepatu hoka nya sudah diterima pembelian yg kedua bagus sprti Ori nggak ada cacat dpt bonus kaos kaki & tas mksih bnyak Kakak,0.7551101922988892,Asli
"untuk harga 180rb, dpt tas sepatu, kaos kaki... dipakai jg nyaman oke, msh ad jg yg review * bintang rendah.. namanya sepatu sesuai harga yg menurut sya ini sudah bagus.. klau mau perfect beli ori donk admin jg gercep 🙏tq",0.98,Asli
"sepatu nya bgus ukuran nya pas, nyaman banget di pakai",0.2923697233200073,Palsu
Kualitas barang nya bagus dan keren serta pengiriman nya cepat,0.16512032449245453,Palsu
yang sebelah kanan mencong/miring pemasangan nya terlalu ke kanan..,0.8788672685623169,Asli
bagus bangeeet... meski ga seempuk aslinya yang memang harga jutaan,0.577372619509697,Asli
"barang bagus, ukuran pas, semoga awet dan tahan lama",0.21179187893867493,Palsu
"jangan ekspektasi tinggi, namanya juga KW 44nya kecil banget, kayanya harus nambah 1 ukuran",0.19021463871002195,Palsu
barangnya bagus keren sesuai deskripsi. apalagi ada bonusnya. Mantap seller!,0.3329829975962639,Palsu
ukurannya 44 barang bagus banget seusai sama yg di foto,0.7500845551490783,Asli
"keren..nyaman di pakai,sesuai harga. pengiriman super cepat. tengkiyu much",0.21622951924800873,Palsu
"murah tapi gak murahan,jos gandos barang bagus",0.15000000000000002,Palsu
Mantep..👍👍 Barang bagus tidak mengecewakan,0.7171503663063049,Asli
barang ny sudah sampai. bagus banget.. tidak ada rusak.,0.7272883176803588,Asli
barang udah keterima sesuai harga semoga awet pengiriman lebih cepat dr estimasi makasih seller dan tompid 👍👍,0.12041158638894559,Palsu
mantap sesuai pesanan respon toko nya baik,0.26421393901109697,Palsu
"Terima kasih Seller, pesanannya datang dengan aman & packagingnya rapi. 😉 Ukuran: 39 Warna: Grey Yellow",0.6326398253440857,Asli
"barang bisa dinilai sendiri dari gambar,",0.9308788180351257,Asli
keren barangnya dan cepet anternya,0.4457785189151764,Palsu
"barang nya bagus, sampai nya juga cepet",0.7643321514129638,Asli
"Sepatunya lumayan bagus, It's comfortable to wear",0.4563997745513916,Palsu
Barang sesuai pesanan. Proses cepat..,0.11393467653542758,Palsu
sudah 2 kali beli g nyesal. good dan mantul👍🏻,0.7648272514343262,Asli
barngnya bagus pengiriman cepat,0.3504792213439941,Palsu
"barang bagus, warna suka banget mudah2an awet",0.2280311942100525,Palsu
seller responsif. barang okelah sesuai harga. jangan berharap ori dengan harga terjangkau jauh.,0.6146561443805695,Asli
"sepatunya bagus, hanya saja jahitan dan lem2nya kurang rapi, tapi lumayanlah dengan harga segitu mah, penjual nya ramah sangat respon pengiriman cepat",0.7210291981697082,Asli
"Kualitas sesuai harga, ada bonus kaos kaki serta tas sepatu, tp bau lem cukup menyengat",0.6688322782516479,Asli
Bentuk dan ukuran: ukuran pas Daya tahan pakai: belum dicoba semoga awet,0.26749518513679504,Palsu
kwalitas barang bagus shg beli lagi. cuma sayangnya kurir tidak bertanggung jawab. meletakkan barang di luar pagar rumah. untungnya barang tidak hilang. sebaiknya kurir tdk dipakai karena tdk bertanggung jawab dan bisa merugikan,0.24437073826789854,Palsu
"kualitas sepatu bagus, cocok dgn harga nya. hanya saja size 44 nya spt size 43 di Nike",0.7373962759971618,Asli
"Sesuai sih, tapi untuk ukuran 44nya kok kecil banget ya? untuk bonus ya oke tapi kaos kakinya gabisa masuk di kaki ane",0.7216167211532593,Asli
"seperti kata orang2 yg mereview produk ini. ""bau lem"". cm secara kualitas meskipun KW tetep mantab. semoga sepatunya awet. respon seller juga sat set tas tes.",0.14210317611694334,Palsu
sesuai hargalah yaa..,0.6018348693847656,Asli
mayan ya untuk harga sgitu... saya udah lebihin 1 nomor.. ternyata masih agak sempit.. barang sampai dengan selamat.. packing cuma pakai plastik hitam tipis respon seller lumayan gercep happy shopping,0.6920188665390015,Asli
"overall ok, bau lem foxnya sangat menyengat. semoga awet",0.32852625846862793,Palsu
"Sepatu sudah saya terima dlm kondisi baik, bagus, sesuai pesanan dan deskripsi.. Proses dan pengiriman cepat. Suksess untuk usahanya, trimss gan..🙏",0.26019411236047746,Palsu
Ukuran Sesuai Deskripsi Packing aman 👍 Sepatu Nyaman 👟,0.2594203263521194,Palsu
seusai dengan ekpetasi barang cukup bagus jahitan juga halus,0.8252338528633117,Asli
"Respon yag sangat cepat, harga terjangkau untuk kualitas yahud. Semoga awet...",0.016485413536429405,Palsu
mayan untuk harga segini.. lem masih berasa menyengat,0.922524631023407,Asli
lemayan bagus,0.16609328836202622,Palsu
barang bagus..sepertinya bisa buat hiking juga nih..makasih,0.10495357951149345,Palsu
"Barang sampai ditempat, barang sesuai yang diinginkan, kwalitas barang bagus, packing ok, terimakasih",0.19612787604331972,Palsu
"Mantap meski KW, semoga awet. Finishing tolong diperbaiki lebih rapi lemnya.",0.13864424586296079,Palsu
Barang sesuai dengan pesanan dan pas ukurannya. Ada bonus tas sepatu pula. Mantap.,0.95,Asli
"Sesuai pesanan,sepatu di pakai juga enak,ada harga ada kualitas,sipp lah",0.6205180048942566,Asli
Ukuran Sesuai Deskripsi Modelnya keren! Packing aman 👍 Sepatu Nyaman 👟,0.1418062061071396,Palsu
"pengiriman cepat kemasan rapi, sesuai dengan pesanan",0.9003400564193725,Asli
"Sepatu yg dipesan sudah sampe tujuan,bagus banget Saya suka skli sesuai Ekspektasi sellernya sangat amanah & Kurirnya pun ramah",0.24869416728615762,Palsu
"wah enak banget sepatu nya nyaman di kaki, semoga awet...",0.07478436082601547,Palsu
kereeeen ini mah untuk harga segini menyerupai ORI nya jooos gandooooos,0.98,Asli
"barang bagus , empuk, melebihi ekspektasi. ukuran cukup",0.4495037853717804,Palsu
"mantap harga terjangkau,ya sesuai lah ada harga ada barang",0.3790332943201065,Palsu
"barang sesuai harga masalah hanya di expedisi lama ,kurirnya kebanyakan nongkrong",0.558425372838974,Asli
"barang sesuai dengan pesanan,semoga tetap berkualitas terus",0.4282285630702972,Palsu
barang nya bagus..cuma warna nya tidak sesuai dgn gambar 🙏,0.8270714759826661,Asli
"pengiriman cepat mantull, respon penjual ok",0.0420798622071743,Palsu
"barang cepat nyampek, barang bagus semoga awet, dan terimakasih bonusnya",0.11170368306338788,Palsu
lumayan lah dengan kualitas barang harga di atas,0.11994125694036484,Palsu
barang bukan orinya. karet bawah keras dan mudah lepas,0.98,Asli
"Bagus banget, worth it sumpah, thank you seller✨",0.11936579495668412,Palsu
barang sdh sampai semoga awet tp jne agak lama ngirimnya,0.03744757920503616,Palsu
barang sesuai deskripsi,0.6682125091552734,Asli
gila sih bangus banget melebihi ekspektasi,0.7202522158622742,Asli
Bagus modelnya dan enak dipakai,0.20359372198581696,Palsu
"isi paket lengkap, kualitas mayan lah,",0.7533596754074097,Asli
puas beli sepatu di toko.imi murah bnyk bonus nya,0.22034250795841218,Palsu
"Pengiriman cepat, kualitas bagus.",0.24347080364823342,Palsu
"barang sudah sampai, kwalitas sesuai harga pengiriman cepat",0.15186530113220212,Palsu
sangatt baikk tapi sayang warna kuning nya di cet,0.87589430809021,Asli
Pengiriman cepat. Semoga awet 👍🏼,0.008348601870238781,Palsu
"Nyaman, belum dicuba….",0.28271883726119995,Palsu
lumayan dr pada lu mayun 😁,0.884956955909729,Asli
terimakasih banyak barang sampai dengan selamat semoga awet terimakasih seller,0.0013195732608437538,Palsu
Alhamdulillah.. Keren banget. Ga nyesel belanja sepatu ini. semoga awet.,0.004788388963788748,Palsu
Cakep 👍,0.04809652268886566,Palsu
barang sip. ada harga ada kualitas,0.11994136869907379,Palsu
asik bangett fehh,0.405082106590271,Palsu
Murah meriah bermerk..keaslian ceck dulu ya,0.8406188368797303,Asli
kerennnn.... terimakasih seller,0.0026767945382744074,Palsu
sepatu berfungsi dengan baik,0.1088249459862709,Palsu
Berfungsi dengan baik,0.03280264139175415,Palsu
Tolong kasih judul kl ini replika,0.9681349992752075,Asli
lumayam untuk harga segitu...,0.30825889110565186,Palsu
sesuai kwalitas harga.,0.045000000000000005,Palsu
"oke, semoga awet",0.027138719335198402,Palsu
"mantap ukuran pas ,",0.32278082370758054,Palsu
mantap pokoe,0.10890006497502328,Palsu
Mantappp,0.10749158952385188,Palsu
Worth it lah..,0.013276921585202217,Palsu
Brg lama tibanya,0.7389747500419617,Asli
kerem,0.24633599817752838,Palsu
barang sesuai pict semoga awet,0.12938351780176163,Palsu
thks u,0.24633599817752838,Palsu
warna bagus dan.murah,0.48442930579185484,Palsu
sesuai harga barang,0.5516873955726623,Asli
lumayanlah,0.39139023423194885,Palsu
"jos , mantap",0.11409938745200635,Palsu
bagus dengan harga tersebut,0.1682167559862137,Palsu
mantap 👍👍👍👍👍👍👍🙏,0.10890006497502328,Palsu
sangat puas srkali,0.20226849061436952,Palsu
super cepat kirimnya kerennn,0.02747834101319313,Palsu
JELEK,0.8388138175010681,Asli
Sangattt bagus worth it,0.11998030208051205,Palsu
kegedean. gpp buat keponakan,0.8189512491226196,Asli
"sepatunya mantap, suka.",0.2916788965463638,Palsu
sesuai harga,0.22920312583446503,Palsu
baguss,0.33361065983772276,Palsu
bagus,0.1836857557296753,Palsu
"Ok,mantap",0.14955130070447922,Palsu
Sangat puas pokoknya,0.20229533761739732,Palsu
Bagus empukkk,0.1836857557296753,Palsu
sesuai dengan harga,0.22920312583446503,Palsu
lumayan sesuai harga,0.22920284271240235,Palsu
mantap,0.10890007801353932,Palsu
warna yg dikirim tdk sesuai,0.95,Asli
mantapp,0.10131473795045168,Palsu
ok,0.0337347649037838,Palsu
terima kasiiih,0.001331367064267397,Palsu
Mantaapppp....👍,0.24633599817752838,Palsu
"puas, jossssss",0.10226849061436952,Palsu
